Match Number,Round Number,Date,Location,Home Team,Away Team,Result
243,1,13/11/25 02:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Los Angeles Lakers,
244,1,13/11/25 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Atlanta Hawks,
245,1,13/11/25 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Denver Nuggets,
246,1,14/11/25 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Toronto Raptors,
247,1,14/11/25 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Indiana Pacers,
248,1,14/11/25 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Atlanta Hawks,
249,1,15/11/25 00:00,"Madison Square Garden, New York, NY",New York Knicks,Miami Heat,
250,1,15/11/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,Brooklyn Nets,
251,1,15/11/25 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Philadelphia 76ers,
252,1,15/11/25 01:00,"Toyota Center, Houston, TX",Houston Rockets,Portland Trail Blazers,
253,1,15/11/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Charlotte Hornets,
254,1,15/11/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Sacramento Kings,
255,1,15/11/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Los Angeles Lakers,
256,1,15/11/25 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,LA Clippers,
257,1,15/11/25 02:30,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Golden State Warriors,
258,1,15/11/25 22:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Memphis Grizzlies,
259,1,16/11/25 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Oklahoma City Thunder,
260,1,16/11/25 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Toronto Raptors,
261,1,16/11/25 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Los Angeles Lakers,
262,1,16/11/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Denver Nuggets,
263,1,16/11/25 20:30,"TD Garden, Boston, MA",Boston Celtics,LA Clippers,
264,1,16/11/25 21:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Sacramento Kings,
265,1,16/11/25 23:00,"Capital One Arena, Washington, DC",Washington Wizards,Brooklyn Nets,
266,1,17/11/25 00:00,"Toyota Center, Houston, TX",Houston Rockets,Orlando Magic,
267,1,17/11/25 00:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Golden State Warriors,
268,1,17/11/25 00:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Portland Trail Blazers,
269,1,17/11/25 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Atlanta Hawks,
270,1,17/11/25 01:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Chicago Bulls,
