Match Number,Round Number,Date,Location,Home Team,Away Team,Result
452,1,20/12/25 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,San Antonio Spurs,
453,1,20/12/25 00:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Chicago Bulls,
454,1,20/12/25 02:30,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Oklahoma City Thunder,
455,1,20/12/25 22:00,"Ball Arena, Denver, CO",Denver Nuggets,Houston Rockets,
456,1,21/12/25 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Dallas Mavericks,
457,1,21/12/25 00:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Boston Celtics,
458,1,21/12/25 00:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Indiana Pacers,
459,1,21/12/25 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Charlotte Hornets,
460,1,21/12/25 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Washington Wizards,
461,1,21/12/25 01:30,"Chase Center, San Francisco, CA",Golden State Warriors,Phoenix Suns,
462,1,21/12/25 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,Orlando Magic,
463,1,21/12/25 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Portland Trail Blazers,
464,1,21/12/25 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Los Angeles Lakers,
465,1,21/12/25 20:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Chicago Bulls,
466,1,21/12/25 23:00,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Toronto Raptors,
467,1,21/12/25 23:00,"Madison Square Garden, New York, NY",New York Knicks,Miami Heat,
468,1,22/12/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,San Antonio Spurs,
469,1,22/12/25 00:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Milwaukee Bucks,
470,1,22/12/25 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Houston Rockets,
471,1,23/12/25 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Charlotte Hornets,
472,1,23/12/25 00:30,"TD Garden, Boston, MA",Boston Celtics,Indiana Pacers,
473,1,23/12/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Dallas Mavericks,
474,1,23/12/25 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Utah Jazz,
475,1,23/12/25 02:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Memphis Grizzlies,
476,1,23/12/25 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Orlando Magic,
477,1,23/12/25 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Detroit Pistons,
478,1,24/12/25 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Washington Wizards,
479,1,24/12/25 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Brooklyn Nets,
480,1,24/12/25 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Chicago Bulls,
481,1,24/12/25 00:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,New Orleans Pelicans,
482,1,24/12/25 00:30,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Milwaukee Bucks,
483,1,24/12/25 00:30,"Kaseya Center, Miami, FL",Miami Heat,Toronto Raptors,
484,1,24/12/25 01:00,"American Airlines Center, Dallas, TX",Dallas Mavericks,Denver Nuggets,
485,1,24/12/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,New York Knicks,
486,1,24/12/25 01:30,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Oklahoma City Thunder,
487,1,24/12/25 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Los Angeles Lakers,
488,1,24/12/25 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Memphis Grizzlies,
489,1,24/12/25 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Orlando Magic,
490,1,24/12/25 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Detroit Pistons,
491,1,24/12/25 04:00,"Intuit Dome, Inglewood, CA",LA Clippers,Houston Rockets,
492,1,25/12/25 17:00,"Madison Square Garden, New York, NY",New York Knicks,Cleveland Cavaliers,
493,1,25/12/25 19:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,San Antonio Spurs,
494,1,25/12/25 22:00,"Chase Center, San Francisco, CA",Golden State Warriors,Dallas Mavericks,
495,1,26/12/25 01:00,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Houston Rockets,
496,1,26/12/25 03:30,"Ball Arena, Denver, CO",Denver Nuggets,Minnesota Timberwolves,
497,1,27/12/25 00:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Miami Heat,
498,1,27/12/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,Charlotte Hornets,
499,1,27/12/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Toronto Raptors,
500,1,27/12/25 00:30,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Boston Celtics,
501,1,27/12/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Philadelphia 76ers,
502,1,27/12/25 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Milwaukee Bucks,
503,1,27/12/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Phoenix Suns,
504,1,27/12/25 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,Detroit Pistons,
505,1,27/12/25 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,LA Clippers,
506,1,27/12/25 22:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Dallas Mavericks,
507,1,28/12/25 00:00,"Kia Center, Orlando, FL",Orlando Magic,Denver Nuggets,
508,1,28/12/25 00:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Phoenix Suns,
509,1,28/12/25 01:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,New York Knicks,
510,1,28/12/25 01:00,"Kaseya Center, Miami, FL",Miami Heat,Indiana Pacers,
511,1,28/12/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Milwaukee Bucks,
512,1,28/12/25 01:00,"Toyota Center, Houston, TX",Houston Rockets,Cleveland Cavaliers,
513,1,28/12/25 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Brooklyn Nets,
514,1,28/12/25 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Utah Jazz,
515,1,28/12/25 20:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Golden State Warriors,
516,1,28/12/25 20:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Philadelphia 76ers,
517,1,28/12/25 23:00,"Capital One Arena, Washington, DC",Washington Wizards,Memphis Grizzlies,
518,1,28/12/25 23:00,"Moda Center, Portland, OR",Portland Trail Blazers,Boston Celtics,
519,1,29/12/25 02:00,"Intuit Dome, Inglewood, CA",LA Clippers,Detroit Pistons,
520,1,29/12/25 02:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Sacramento Kings,
521,1,30/12/25 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Milwaukee Bucks,
522,1,30/12/25 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Phoenix Suns,
523,1,30/12/25 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Golden State Warriors,
524,1,30/12/25 00:30,"Kaseya Center, Miami, FL",Miami Heat,Denver Nuggets,
525,1,30/12/25 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Orlando Magic,
526,1,30/12/25 01:00,"United Center, Chicago, IL",Chicago Bulls,Minnesota Timberwolves,
527,1,30/12/25 01:00,"Toyota Center, Houston, TX",Houston Rockets,Indiana Pacers,
528,1,30/12/25 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,New York Knicks,
529,1,30/12/25 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Atlanta Hawks,
530,1,30/12/25 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Cleveland Cavaliers,
531,1,30/12/25 04:00,"Moda Center, Portland, OR",Portland Trail Blazers,Dallas Mavericks,
532,1,31/12/25 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Philadelphia 76ers,
533,1,31/12/25 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Boston Celtics,
534,1,31/12/25 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Detroit Pistons,
535,1,31/12/25 04:00,"Intuit Dome, Inglewood, CA",LA Clippers,Sacramento Kings,
536,1,31/12/25 18:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Golden State Warriors,
537,1,31/12/25 20:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Minnesota Timberwolves,
538,1,31/12/25 20:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Orlando Magic,
539,1,31/12/25 20:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Phoenix Suns,
540,1,01/01/26 00:00,"United Center, Chicago, IL",Chicago Bulls,New Orleans Pelicans,
541,1,01/01/26 00:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,New York Knicks,
542,1,01/01/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Denver Nuggets,
543,1,01/01/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Washington Wizards,
544,1,01/01/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Portland Trail Blazers,
545,1,01/01/26 23:00,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Houston Rockets,
546,1,02/01/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Miami Heat,
547,1,02/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Philadelphia 76ers,
548,1,02/01/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Boston Celtics,
549,1,02/01/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Utah Jazz,
550,1,03/01/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,San Antonio Spurs,
551,1,03/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Brooklyn Nets,
552,1,03/01/26 00:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Denver Nuggets,
553,1,03/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Atlanta Hawks,
554,1,03/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Orlando Magic,
555,1,03/01/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Charlotte Hornets,
556,1,03/01/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Portland Trail Blazers,
557,1,03/01/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Sacramento Kings,
558,1,03/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Oklahoma City Thunder,
559,1,03/01/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Memphis Grizzlies,
560,1,03/01/26 22:00,"Kaseya Center, Miami, FL",Miami Heat,Minnesota Timberwolves,
561,1,04/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Philadelphia 76ers,
562,1,04/01/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Atlanta Hawks,
563,1,04/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Charlotte Hornets,
564,1,04/01/26 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Portland Trail Blazers,
565,1,04/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Houston Rockets,
566,1,04/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Utah Jazz,
567,1,04/01/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Boston Celtics,
568,1,04/01/26 19:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Detroit Pistons,
569,1,04/01/26 20:00,"Kia Center, Orlando, FL",Orlando Magic,Indiana Pacers,
570,1,04/01/26 20:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Denver Nuggets,
571,1,04/01/26 23:00,"Kaseya Center, Miami, FL",Miami Heat,New Orleans Pelicans,
572,1,04/01/26 23:00,"Capital One Arena, Washington, DC",Washington Wizards,Minnesota Timberwolves,
573,1,05/01/26 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Oklahoma City Thunder,
574,1,05/01/26 02:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Milwaukee Bucks,
575,1,05/01/26 02:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Memphis Grizzlies,
576,1,06/01/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,New York Knicks,
577,1,06/01/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Chicago Bulls,
578,1,06/01/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Atlanta Hawks,
579,1,06/01/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Phoenix Suns,
580,1,06/01/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Charlotte Hornets,
581,1,06/01/26 01:30,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Denver Nuggets,
582,1,06/01/26 03:00,"Intuit Dome, Inglewood, CA",LA Clippers,Golden State Warriors,
583,1,06/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Utah Jazz,
584,1,07/01/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Cleveland Cavaliers,
585,1,07/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Orlando Magic,
586,1,07/01/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,San Antonio Spurs,
587,1,07/01/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Miami Heat,
588,1,07/01/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Los Angeles Lakers,
589,1,07/01/26 04:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Dallas Mavericks,
590,1,08/01/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Toronto Raptors,
591,1,08/01/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Chicago Bulls,
592,1,08/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Washington Wizards,
593,1,08/01/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,New Orleans Pelicans,
594,1,08/01/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Denver Nuggets,
595,1,08/01/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Orlando Magic,
596,1,08/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,LA Clippers,
597,1,08/01/26 00:30,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Los Angeles Lakers,
598,1,08/01/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Phoenix Suns,
599,1,08/01/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Utah Jazz,
600,1,08/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Milwaukee Bucks,
601,1,08/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Houston Rockets,
602,1,09/01/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Indiana Pacers,
603,1,09/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Miami Heat,
604,1,09/01/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Cleveland Cavaliers,
605,1,09/01/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Dallas Mavericks,
606,1,10/01/26 00:00,"TD Garden, Boston, MA",Boston Celtics,Toronto Raptors,
607,1,10/01/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Philadelphia 76ers,
608,1,10/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,New Orleans Pelicans,
609,1,10/01/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,LA Clippers,
610,1,10/01/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Oklahoma City Thunder,
611,1,10/01/26 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Atlanta Hawks,
612,1,10/01/26 02:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,New York Knicks,
613,1,10/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Sacramento Kings,
614,1,10/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Houston Rockets,
615,1,10/01/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Milwaukee Bucks,
616,1,10/01/26 18:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Minnesota Timberwolves,
617,1,11/01/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Miami Heat,
618,1,11/01/26 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,LA Clippers,
619,1,11/01/26 01:00,"TD Garden, Boston, MA",Boston Celtics,San Antonio Spurs,
620,1,11/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Dallas Mavericks,
621,1,11/01/26 02:30,"Delta Center, Salt Lake City, UT",Utah Jazz,Charlotte Hornets,
622,1,11/01/26 20:00,"Kia Center, Orlando, FL",Orlando Magic,New Orleans Pelicans,
623,1,11/01/26 20:30,"FedExForum, Memphis, TN",Memphis Grizzlies,Brooklyn Nets,
624,1,11/01/26 23:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Philadelphia 76ers,
625,1,11/01/26 23:00,"Moda Center, Portland, OR",Portland Trail Blazers,New York Knicks,
626,1,12/01/26 00:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,San Antonio Spurs,
627,1,12/01/26 00:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Miami Heat,
628,1,12/01/26 01:00,"Ball Arena, Denver, CO",Denver Nuggets,Milwaukee Bucks,
629,1,12/01/26 01:00,"PHX Arena, Phoenix, AZ",Phoenix Suns,Washington Wizards,
630,1,12/01/26 01:30,"Chase Center, San Francisco, CA",Golden State Warriors,Atlanta Hawks,
631,1,12/01/26 02:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Houston Rockets,
632,1,13/01/26 00:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Utah Jazz,
633,1,13/01/26 00:30,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Boston Celtics,
634,1,13/01/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Philadelphia 76ers,
635,1,13/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Brooklyn Nets,
636,1,13/01/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Los Angeles Lakers,
637,1,13/01/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Charlotte Hornets,
638,1,14/01/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Phoenix Suns,
639,1,14/01/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,Chicago Bulls,
640,1,14/01/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Minnesota Timberwolves,
641,1,14/01/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Denver Nuggets,
642,1,14/01/26 01:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,San Antonio Spurs,
643,1,14/01/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Atlanta Hawks,
644,1,14/01/26 04:00,"Chase Center, San Francisco, CA",Golden State Warriors,Portland Trail Blazers,
645,1,15/01/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Toronto Raptors,
646,1,15/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Cleveland Cavaliers,
647,1,15/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,Utah Jazz,
648,1,15/01/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Brooklyn Nets,
649,1,15/01/26 02:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Denver Nuggets,
650,1,15/01/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,New York Knicks,
651,1,15/01/26 03:30,"Intuit Dome, Inglewood, CA",LA Clippers,Washington Wizards,
652,1,15/01/26 19:00,"Uber Arena, Berlin",Orlando Magic,Memphis Grizzlies,
653,1,16/01/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Phoenix Suns,
654,1,16/01/26 00:30,"Kaseya Center, Miami, FL",Miami Heat,Boston Celtics,
655,1,16/01/26 00:30,"Toyota Center, Houston, TX",Houston Rockets,Oklahoma City Thunder,
656,1,16/01/26 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Milwaukee Bucks,
657,1,16/01/26 01:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Utah Jazz,
658,1,16/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,New York Knicks,
659,1,16/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Atlanta Hawks,
660,1,16/01/26 03:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Charlotte Hornets,
661,1,17/01/26 00:00,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Chicago Bulls,
662,1,17/01/26 00:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,New Orleans Pelicans,
663,1,17/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Cleveland Cavaliers,
664,1,17/01/26 00:30,"Scotiabank Arena, Toronto, ON",Toronto Raptors,LA Clippers,
665,1,17/01/26 02:30,"Toyota Center, Houston, TX",Houston Rockets,Minnesota Timberwolves,
666,1,17/01/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Washington Wizards,
667,1,17/01/26 22:00,"American Airlines Center, Dallas, TX",Dallas Mavericks,Utah Jazz,
668,1,18/01/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Boston Celtics,
669,1,18/01/26 00:30,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Indiana Pacers,
670,1,18/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Phoenix Suns,
671,1,18/01/26 01:00,"Kaseya Center, Miami, FL",Miami Heat,Oklahoma City Thunder,
672,1,18/01/26 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Minnesota Timberwolves,
673,1,18/01/26 01:30,"Chase Center, San Francisco, CA",Golden State Warriors,Charlotte Hornets,
674,1,18/01/26 02:00,"Ball Arena, Denver, CO",Denver Nuggets,Washington Wizards,
675,1,18/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Los Angeles Lakers,
676,1,18/01/26 17:00,"The O2 Arena, London",Memphis Grizzlies,Orlando Magic,
677,1,19/01/26 00:00,"United Center, Chicago, IL",Chicago Bulls,Brooklyn Nets,
678,1,19/01/26 00:00,"Toyota Center, Houston, TX",Houston Rockets,New Orleans Pelicans,
679,1,19/01/26 01:00,"Ball Arena, Denver, CO",Denver Nuggets,Charlotte Hornets,
680,1,19/01/26 02:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Portland Trail Blazers,
681,1,19/01/26 02:30,"Crypto.com Arena, Los Angeles, CA",Los Angeles Lakers,Toronto Raptors,
682,1,19/01/26 18:00,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Milwaukee Bucks,
683,1,19/01/26 19:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Oklahoma City Thunder,
684,1,19/01/26 20:00,"Capital One Arena, Washington, DC",Washington Wizards,LA Clippers,
685,1,19/01/26 22:00,"Madison Square Garden, New York, NY",New York Knicks,Dallas Mavericks,
686,1,20/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Indiana Pacers,
687,1,20/01/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Phoenix Suns,
688,1,20/01/26 01:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Boston Celtics,
689,1,20/01/26 01:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Utah Jazz,
690,1,20/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Miami Heat,
691,1,21/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Phoenix Suns,
692,1,21/01/26 01:00,"United Center, Chicago, IL",Chicago Bulls,LA Clippers,
693,1,21/01/26 01:00,"Toyota Center, Houston, TX",Houston Rockets,San Antonio Spurs,
694,1,21/01/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,Minnesota Timberwolves,
695,1,21/01/26 03:00,"Ball Arena, Denver, CO",Denver Nuggets,Los Angeles Lakers,
696,1,21/01/26 03:00,"Chase Center, San Francisco, CA",Golden State Warriors,Toronto Raptors,
697,1,21/01/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Miami Heat,
698,1,22/01/26 00:00,"Spectrum Center, Charlotte, NC",Charlotte Hornets,Cleveland Cavaliers,
699,1,22/01/26 00:30,"TD Garden, Boston, MA",Boston Celtics,Indiana Pacers,
700,1,22/01/26 00:30,"Madison Square Garden, New York, NY",New York Knicks,Brooklyn Nets,
701,1,22/01/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Atlanta Hawks,
702,1,22/01/26 01:00,"Smoothie King Center, New Orleans, LA",New Orleans Pelicans,Detroit Pistons,
703,1,22/01/26 02:30,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Oklahoma City Thunder,
704,1,22/01/26 03:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Toronto Raptors,
705,1,23/01/26 00:00,"Kia Center, Orlando, FL",Orlando Magic,Charlotte Hornets,
706,1,23/01/26 00:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Houston Rockets,
707,1,23/01/26 00:00,"Capital One Arena, Washington, DC",Washington Wizards,Denver Nuggets,
708,1,23/01/26 00:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Golden State Warriors,
709,1,23/01/26 01:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Chicago Bulls,
710,1,23/01/26 02:00,"Delta Center, Salt Lake City, UT",Utah Jazz,San Antonio Spurs,
711,1,23/01/26 03:00,"Intuit Dome, Inglewood, CA",LA Clippers,Los Angeles Lakers,
712,1,23/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Miami Heat,
713,1,24/01/26 00:00,"Little Caesars Arena, Detroit, MI",Detroit Pistons,Houston Rockets,
714,1,24/01/26 00:30,"State Farm Arena, Atlanta, GA",Atlanta Hawks,Phoenix Suns,
715,1,24/01/26 00:30,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Boston Celtics,
716,1,24/01/26 00:30,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Sacramento Kings,
717,1,24/01/26 01:00,"FedExForum, Memphis, TN",Memphis Grizzlies,New Orleans Pelicans,
718,1,24/01/26 01:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Denver Nuggets,
719,1,24/01/26 02:30,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Indiana Pacers,
720,1,24/01/26 03:00,"Moda Center, Portland, OR",Portland Trail Blazers,Toronto Raptors,
721,1,24/01/26 20:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,New York Knicks,
